ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
1452,1835.0,52,19.215687,21.960785,87,0.0,0.0,24,72.549019,51.764706,19.215687,34.901962,19.607843,0,102,0.0,51,12,568.799988,435.700012,13.613,0.0,0,1407,0,48,3/4/2025
339,1016.25,13,18.82353,37.254902,87,0.0,-2.34375,36,87.058823,51.372547,16.078432,31.764706,18.82353,0,100,0.0,46,1,514.200012,372.799988,13.632,12.941176,0,1388,0,48,3/4/2025
2049,6000.0,0,18.82353,100.0,89,0.0,-3.90625,44,69.019608,50.980392,16.078432,31.764706,18.82353,0,101,0.0,53,-7,539.200012,428.799988,13.535,54.117645,0,1417,0,48,3/4/2025
1856,1084.25,0,20.0,40.392159,89,0.0,-2.34375,44,65.490196,52.941177,35.294117,51.764706,25.882353,0,101,0.0,55,16,530.299988,423.200012,13.476,40.0,0,1414,0,48,3/4/2025
403,1200.0,26,23.921568,81.568626,88,-3.90625,-1.5625,77,81.960785,50.980392,16.078432,31.764706,18.82353,0,100,0.0,48,12,496.700012,353.200012,13.613,45.098038,0,1389,0,48,3/4/2025
1625,1945.25,55,20.0,24.313726,86,0.0,0.0,25,77.254906,52.156864,18.431372,34.117645,19.215687,0,100,0.784314,50,14,573.200012,487.400024,10.003614383205027,0.0,0,1410,0,48,3/4/2025
61,1425.0,30,19.215687,27.058823,68,2.34375,-2.34375,27,72.549019,51.372547,16.078432,31.764706,19.215687,0,100,0.0,40,7,324.600006,75.300003,14.003,0.0,0,1384,0,47,3/4/2025
2622,1437.5,31,18.82353,24.705883,87,0.0,-1.5625,26,69.411766,53.333332,21.17647,37.254902,20.784313,0,103,1.568627,57,6,513.700012,388.899994,13.457,35.294117,0,1426,0,48,3/4/2025
838,911.5,0,18.431372,38.039215,88,0.0,0.0,37,70.588234,50.588234,16.078432,31.764706,18.431372,0,100,0.0,53,-2,478.799988,369.700012,13.515,47.450981,0,1396,0,48,3/4/2025
1199,810.75,0,18.82353,43.92157,88,0.0,-3.90625,45,77.254906,50.588234,16.078432,31.764706,18.431372,0,100,0.0,57,-7,507.799988,374.399994,9.94504736171403,54.509804,0,1403,0,48,3/4/2025
1196,677.25,0,16.078432,28.235294,89,0.0,-6.25,28,77.254906,47.450981,16.078432,31.764706,16.078432,0,100,0.0,57,5,510.700012,377.100006,13.476,23.529411,0,1403,0,48,3/4/2025
0,0.0,0,17.647058,0.0,56,-3.90625,0.0,92,67.058823,49.803921,16.078432,31.764706,18.039215,0,101,0.0,37,5,506.5,352.100006,12.48,0.0,0,1383,0,47,3/4/2025
2602,1700.75,36,21.17647,40.784313,88,-1.5625,5.46875,42,65.882355,54.509804,22.352942,38.039215,21.568628,0,103,1.960784,57,22,522.799988,381.399994,13.476,92.549019,0,1426,0,48,3/4/2025
2127,1583.5,45,18.82353,25.09804,88,0.0,-7.8125,26,72.15686,50.980392,16.078432,31.764706,18.82353,0,101,0.0,52,9,556.299988,416.600006,13.535,33.333332,0,1418,0,48,3/4/2025
299,1446.0,20,18.82353,41.176472,88,-0.78125,0.0,39,53.725491,53.333332,20.784313,36.862743,20.784313,0,100,1.568627,45,20,521.900024,376.100006,13.691,12.941176,0,1387,0,48,3/4/2025
2681,1835.75,15,20.784313,30.980392,86,1.5625,-1.5625,26,71.764709,53.725491,21.960785,37.64706,20.784313,0,103,1.960784,58,24,546.400024,414.100006,13.476,92.15686,0,1427,0,48,3/4/2025
2304,1342.75,37,19.607843,36.07843,88,0.0,-2.34375,36,65.490196,48.627453,22.745098,38.823528,20.392157,0,103,0.0,52,20,535.5,417.100006,13.632,47.843136,0,1421,0,48,3/4/2025
1658,1086.5,28,19.215687,35.686275,87,0.0,0.78125,36,75.686272,51.372547,16.078432,31.764706,19.215687,0,100,0.0,50,1,482.5,425.700012,13.593,0.0,0,1410,0,48,3/4/2025
2651,1039.75,16,16.470589,20.0,88,0.0,-1.5625,22,63.137257,48.627453,16.078432,31.764706,16.470589,0,103,1.176471,58,14,547.599976,413.299988,13.437,53.725491,0,1427,0,48,3/4/2025
168,1561.5,31,22.745098,62.35294,85,-1.5625,0.78125,58,70.196075,57.64706,25.09804,40.784313,24.313726,0,100,5.098039,42,18,459.600006,193.199997,9.630091685396934,0.0,0,1385,0,48,3/4/2025
2640,1767.75,24,22.745098,50.196079,88,-1.5625,-2.34375,52,63.529411,56.862743,26.274509,41.960785,23.529411,0,103,4.705883,57,21,530.099976,399.200012,10.762505446027053,58.823528,0,1427,0,48,3/4/2025
1139,2117.75,44,18.82353,27.843138,87,0.0,-5.46875,22,70.196075,53.333332,21.17647,37.254902,20.784313,0,100,1.960784,55,19,538.200012,396.899994,13.476,74.509804,0,1402,0,48,3/4/2025
1498,1827.25,50,21.17647,32.941177,87,0.0,-3.125,36,75.686272,53.333332,22.352942,38.039215,20.784313,0,102,1.568627,50,24,549.5,420.200012,13.652,90.196075,0,1408,0,48,3/4/2025
2637,1760.0,26,18.039215,27.450981,88,0.0,-3.90625,22,61.960785,57.254902,26.666666,42.745098,23.921568,0,103,5.882353,57,15,523.5,396.200012,13.535,68.627449,0,1427,0,48,3/4/2025
2211,1505.25,42,21.568628,47.058823,87,-1.5625,-3.125,47,64.705879,54.509804,21.960785,38.039215,21.568628,0,101,2.352941,53,19,551.0,420.700012,13.535,69.803925,0,1419,0,48,3/4/2025
1016,1483.5,19,21.960785,55.686275,88,-0.78125,-3.90625,51,69.019608,54.509804,24.705883,40.784313,21.568628,0,100,4.705883,55,18,850.0,392.100006,13.515,49.019608,0,1399,0,48,3/4/2025
2319,1639.75,10,18.82353,25.882353,88,0.0,0.78125,27,63.92157,60.784313,28.627451,44.705883,26.666666,0,103,7.843137,53,14,533.299988,410.200012,13.496,100.0,0,1421,0,48,3/4/2025
1551,1423.25,39,20.392157,43.529411,88,-1.5625,2.34375,45,70.980392,53.725491,23.137255,39.215687,20.784313,0,102,1.960784,50,19,511.400024,396.399994,13.652,51.372547,0,1408,0,48,3/4/2025
1643,1747.5,49,18.039215,28.235294,86,2.34375,3.90625,27,59.607841,52.156864,20.784313,36.862743,20.0,0,100,0.784314,50,24,508.599976,454.100006,13.71,29.411764,0,1410,0,48,3/4/2025
639,1012.5,3,19.215687,37.254902,87,0.0,-0.78125,37,77.254906,51.372547,16.078432,31.764706,19.215687,0,100,0.0,52,-2,506.599976,384.399994,13.535,0.0,0,1393,0,48,3/4/2025
2162,1217.0,28,18.82353,30.196079,89,0.0,-1.5625,30,65.490196,50.980392,16.078432,31.764706,18.82353,0,101,0.0,53,3,540.299988,411.700012,13.535,27.058823,0,1419,0,48,3/4/2025
408,1530.25,31,21.960785,47.058823,88,-0.78125,1.5625,46,81.960785,54.901962,22.745098,38.431374,21.960785,0,100,2.745098,48,19,507.599976,362.299988,13.613,47.843136,0,1389,0,48,3/4/2025
648,897.5,0,18.039215,36.07843,88,0.0,0.78125,35,73.333336,49.803921,16.078432,31.764706,18.039215,0,100,0.0,52,5,499.599976,377.100006,9.709071885649868,37.64706,0,1393,0,48,3/4/2025
