ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE,TIME_RUN_WITH_MIL_ON,TIME_SINCE_TROUBLE_CODES_CLEARED,DISTANCE_TRAVELED_WITH_MIL_ON,WARM_UPS_SINCE_CODES_CLEARED,timestamp
247,1115.5,34,18.82353,30.980392,81,22.63169448166944,0.0,62.33677781982776,35.294117,50.980392,16.078432,31.764706,18.82353,0,100,0.0,33,4,551.299988,392.600006,13.828,0.0,0,9132,0,255,3/7/2025
1289,885.75,42,18.82353,32.549019,85,-2.34375,7.8125,35.0,40.784313,50.980392,16.078432,31.764706,18.82353,0,102,0.0,50,0,513.0,429.100006,13.574,0.0,0,9149,0,255,3/7/2025
89,1610.75,8,18.82353,56.470589,50,-2.34375,-5.46875,43.0,37.254902,56.470589,25.09804,40.784313,23.137255,0,100,4.313725,30,30,372.299988,86.599998,13.945,0.0,0,9129,0,255,3/7/2025
1202,1303.75,26,39.215687,31.372549,88,0.0,2.34375,97.0,27.058823,50.588234,16.078432,31.764706,18.82353,0,101,0.0,46,-15,523.5,407.799988,13.593,0.0,0,9148,0,255,3/7/2025
1512,1603.75,45,20.784313,36.470589,87,31.99046194740818,1.5625,60.97953746872742,24.313726,53.333332,23.137255,38.823528,20.784313,0,102,2.745098,49,24,535.099976,402.899994,13.671,88.235291,0,9153,0,255,3/7/2025
1177,1420.25,32,21.568628,43.529411,86,-0.78125,5.46875,45.0,30.980392,50.980392,16.078432,31.764706,18.82353,0,102,0.0,47,20,527.700012,418.200012,13.593,23.921568,0,9147,0,255,3/7/2025
759,2110.0,58,27.058823,73.333336,86,-5.46875,1.5625,74.0,33.333332,59.215687,25.882353,41.960785,25.490196,0,102,7.058824,44,15,559.299988,427.600006,13.613,100.0,0,9140,0,255,3/7/2025
183,1646.0,47,21.568628,46.274509,70,-2.34375,-1.5625,45.0,39.607841,54.117645,21.568628,37.64706,22.745098,0,100,1.960784,31,21,543.799988,314.600006,13.925,0.0,0,9131,0,255,3/7/2025
1465,1564.75,45,19.215687,26.274509,88,25.44061030020171,0.0,70.49439618557805,30.196079,51.764706,21.17647,37.254902,19.215687,0,102,0.392157,50,25,547.200012,415.799988,13.632,55.686275,0,9152,0,255,3/7/2025
348,1505.25,42,20.784313,39.607841,88,29.898042885848255,-1.5625,69.87426931295798,33.333332,53.725491,21.17647,36.862743,20.784313,0,100,1.960784,36,21,584.400024,439.200012,13.73,19.215687,0,9133,0,255,3/7/2025
